question,answer
When were the second and the third wave of the 1918-1919 swine flu pandemic?," A sec-ond or fall wave spread globally from September toNovember 1918 and was highly fatal. In many nations, athird wave occurred in early 1919 "
What was the primary difference between the first wave and the 2nd and 3rd wave of the 1918-1919 swine flu pandemic?,"the much higher fre-quency of complicated, severe, and fatal cases in the last 2waves."
Why the human influenza viruses do not disappear after herd immunity is developed?,"The occurrence, and to some extent the severity, of recur-rent annual outbreaks, are driven by Viral antigenic drift,with an antigenic variant Virus emerging to become domi-nant"
What are the circumstances that promote the spread of influenza virus?," lower environ-mental temperatures and human nasal temperatures (bene-ﬁcial to thermolabile Viruses such as inﬂuenza), optimalhumidity, increased crowding indoors, and imperfect ven-tilation due to closed windows and suboptimal airﬂow"
Do seasonal temperatures and humidity explain  the appearance of the three waves of the 1918 swine flu?,"such factors cannot explain the 3 pandemicwaves of 1918-1919, which occurred in the spring-sum-mer, summer—fall, and winter (of the NorthernHemisphere), respectively. The ﬁrst 2 waves occurred at atime of year normally unfavorable to inﬂuenza Virusspread. The second wave caused simultaneous outbreaksin the Northern and Southern Hemispheres fromSeptember to November. "
Which virus samples  from the 1918 swine flu pandemic have been identified?,pandemic Virus samples we haveyet identiﬁed are from second-wave patients
Are viruses in the first and third waves of the 1918 swine flu pandemic same or derived from the virus from the second wave of the swine flu?,"nothingcan yet be said about whether the ﬁrst (spring) wave, or forthat matter, the third wave, represented circulation of thesame Virus or variants of it"
Was the 1918 swine flu virus novel to humans are was it derived from older viruses?,"Viral sequence data now suggest that the entire 1918Virus was novel to humans in, or shortly before, 1918, andthat it thus was not a reassortant Virus produced from oldexisting strains that acquired 1 or more new genes"
Do avian flu viruses change over long periods?,"Inﬂuenza Virus genesequences from a number ofﬁxed specimens ofwild birdscollected circa 1918 show little difference from avianViruses isolated today, indicating that avian Viruses likelyundergo little antigenic change in their natural hosts evenover long periods"
What  is the typical age profile of mortality in Influenza diseases?,"The curve of inﬂuenza deaths by age at death has histor-ically, for at least 150 years, been U-shaped (Figure 2),exhibiting mortality peaks in the very young and the veryold, with a comparatively low frequency of deaths at allages in between"
What was the age profile of mortality in the 1918 swine flu?,"age-speciﬁc death rates in the1918 pandemic exhibited a distinct pattern that has not beendocumented before or since: a “W—shaped” curve, similar tothe familiar U-shaped curve but with the addition of a third(middle) distinct peak of deaths in young adults z20410years of age"
Which age group was most susceptible to die during the 1918 swine flu pandemic?,Persons 65 years of age in 1918 had a dispro-portionately high inﬂuenza incidence
What was the death rate among children during the 1918 swine flu pandemic?,"those 5 to 14years of age accounted for a disproportionate number ofinﬂuenza cases, but had a much lower death rate frominﬂuenza and pneumonia than other age groups. "
What theory provides partial explanation for the age-specific profile of the death rate in the 1918 swine flu pandemic?," the 1918 Virus had an intrinsically high Virulence, tem-pered only in those patients who had been born before1889, e.g., because of exposure to a then-circulating Viruscapable of providing partial immunoprotection against the1918 Virus strain only in persons old enough (>35 years) tohave been infected during that prior era "
Is there a difference in the pathologic feature and course of disease between modern influenza pandemics and the 1918 swine flu pandemic?," the 1918pandemic was different in degree, but not in kind, fromprevious and subsequent pandemics. Despite the extraordi-nary number of global deaths, most inﬂuenza cases in1918 (>95% in most locales in industrialized nations) weremild and essentially indistinguishable from inﬂuenza casestoday. "
